Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,AutorabitExtId__c
"0015A000028pzNdQAI","false",,"Edge Communications","Customer - Direct",,"312 Constitution Place Austin, TX 78767 USA","Austin","TX",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Austin'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='TX'  stateCode='null'  street='312 Constitution Place Austin, TX 78767 USA' ] }","312 Constitution Place Austin, TX 78767 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='312 Constitution Place Austin, TX 78767 USA' ] }","(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","/services/images/photo/0015A000028pzNdQAI","6576","Electronics","1.39E8","1000","Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"Medium","Silver","Yes","2.0","Maybe","2657","2018-10-29","0015A000025dgA8QAI"
"0015A000028pzNeQAI","false",,"Burlington Textiles Corp of America","Customer - Direct",,"525 S. Lexington Ave","Burlington","NC","27215","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Burlington'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='27215'  state='NC'  stateCode='null'  street='525 S. Lexington Ave' ] }",,,,,,,,,,"(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","/services/images/photo/0015A000028pzNeQAI","546732","Apparel","3.5E8","9000","Public","BTXT",,"Warm",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,,"Silver",,"6.0","Maybe","5367","2018-10-29","0015A000025dgA9QAI"
"0015A000028pzNfQAI","false",,"Pyramid Construction Inc.","Customer - Channel",,"2 Place Jussieu","Paris",,"75251","France",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Paris'  country='France'  countryCode='null'  geocodeAccuracy='null'  postalCode='75251'  state='null'  stateCode='null'  street='2 Place Jussieu' ] }","2 Place Jussieu","Paris",,"75251","France",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Paris'  country='France'  countryCode='null'  geocodeAccuracy='null'  postalCode='75251'  state='null'  stateCode='null'  street='2 Place Jussieu' ] }","(014) 427-4427","(014) 427-4428","CC213425","www.pyramid.com","/services/images/photo/0015A000028pzNfQAI","4253","Construction","9.5E8","2680","Public","PYR",,,,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,,"Silver","Yes","17.0","Maybe","9840","2019-05-01","0015A000025dgAAQAY"
"0015A000028pzNgQAI","false",,"Dickenson plc","Customer - Channel",,"1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Lawrence'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='66045'  state='KS'  stateCode='null'  street='1301 Hoch Drive' ] }","1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Lawrence'  country='USA'  countryCode='null'  geocodeAccuracy='null'  postalCode='66045'  state='KS'  stateCode='null'  street='1301 Hoch Drive' ] }","(785) 241-6200","(785) 241-6201","CC634267","dickenson-consulting.com","/services/images/photo/0015A000028pzNgQAI","6752","Consulting","5.0E7","120","Private",,,,,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"Low","Bronze","Yes","2.0","No","7425","2019-05-01","0015A000025dgABQAY"
"0015A000028pzNhQAI","false",,"Grand Hotels & Resorts Ltd","Customer - Direct",,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","Chicago","IL",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Chicago'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='IL'  stateCode='null'  street='2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA' ] }","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA' ] }","(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","/services/images/photo/0015A000028pzNhQAI","2268","Hospitality","5.0E8","5600","Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"High","Gold","Yes","57.0","Yes","5572","2019-05-01","0015A000025dgACQAY"
"0015A000028pzNiQAI","false",,"United Oil & Gas Corp.","Customer - Direct",,"1301 Avenue of the Americas  New York, NY 10019 USA","New York","NY",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='New York'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='NY'  stateCode='null'  street='1301 Avenue of the Americas  New York, NY 10019 USA' ] }","1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='1301 Avenue of the Americas  New York, NY 10019 USA' ] }","(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","/services/images/photo/0015A000028pzNiQAI","4437","Energy","5.6E9","145000","Public","UOS","World's third largest oil and gas company.","Hot",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"High","Platinum","Yes","955.0","Yes","6654","2019-05-01","0015A000025dgADQAY"
"0015A000028pzNjQAI","false",,"University of Arizona","Customer - Direct",,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States","Tucson","AZ",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Tucson'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='AZ'  stateCode='null'  street='888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States' ] }","888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States' ] }","(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","/services/images/photo/0015A000028pzNjQAI","7321","Education",,"39000","Other",,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"Medium","Gold","Yes","3.0","Yes","8350","2018-10-29","0015A000025dgAFQAY"
"0015A000028pzNlQAI","false",,"United Oil & Gas, Singapore","Customer - Direct",,"9 Tagore Lane Singapore, Singapore 787472 Singapore","Singapore","Singapore",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Singapore'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='Singapore'  stateCode='null'  street='9 Tagore Lane Singapore, Singapore 787472 Singapore' ] }","9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='9 Tagore Lane Singapore, Singapore 787472 Singapore' ] }","(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","/services/images/photo/0015A000028pzNlQAI","4437","Energy",,"3000","Public","UOS",,,,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"High","Platinum","Yes","6.0","Maybe","2457","2019-05-01","0015A000025dgAHQAY"
"0015A000028pzNmQAI","false",,"GenePoint","Customer - Channel",,"345 Shoreline Park Mountain View, CA 94043 USA","Mountain View","CA",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='Mountain View'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='CA'  stateCode='null'  street='345 Shoreline Park Mountain View, CA 94043 USA' ] }","345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='345 Shoreline Park Mountain View, CA 94043 USA' ] }","(650) 867-3450","(650) 867-9895","CC978213","www.genepoint.com","/services/images/photo/0015A000028pzNmQAI","3712","Biotechnology","3.0E7","265","Private",,"Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","Cold",,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"Low","Bronze","Yes","1.0","Yes","7324","2019-05-01","0015A000025dgAIQAY"
"0015A000028pzNkQAI","false",,"United Oil & Gas, UK","Customer - Direct",,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,"UK",,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}BillingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='UK'  stateCode='null'  street='Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom' ] }","Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,"XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}ShippingAddress, xmlizable=[Address [Location  latitude='null'  longitude='null' ]  city='null'  country='null'  countryCode='null'  geocodeAccuracy='null'  postalCode='null'  state='null'  stateCode='null'  street='Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom' ] }","+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","/services/images/photo/0015A000028pzNkQAI","4437","Energy",,"24000","Public","UOS",,,,"0055A000006MV4CQAW","2019-03-08T05:58:20.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z","0055A000006MV4CQAW","2019-07-21T07:02:46.000Z",,,,,,"Pending",,,,,,,,,"High","Platinum","Yes","34.0","No","3479","2018-10-29","0015A000025dgAGQAY"
